Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Natal Where Art School Is,John Muafangejo,32115,"(Namibian, 1943–1987)",(Namibian),(1943),(1987),(Male),1974,Linoleum cut,"composition: 18 1/16 x 27"" (45.8 x 68.6 cm); sheet: 24 x 33 7/8"" (61 x 86 cm)",General Print Fund,109.2007,Print,Drawings & Prints,2007-03-07,Y,107060,http://www.moma.org/collection/works/107060,http://www.moma.org/media/W1siZiIsIjEzMzM2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=15439b5791056dc4,,,,45.8,,,68.6,,
HIV/AIDS Victims Are Also Destined to Become Angels from Break the Silence!,Joseph Madisia,38199,(Namibian),(Namibian),(0),(0),(Male),2000,Woodcut from a portfolio of thirty-one mixed media prints,"composition: 11 5/8 x 15 3/4"" (29.5 x 40 cm); sheet: 16 9/16 x 23 1/8"" (42 x 58.8 cm)",General Print Fund,1110.2007.13,Print,Drawings & Prints,2007-11-12,Y,136207,http://www.moma.org/collection/works/136207,http://www.moma.org/media/W1siZiIsIjIzOTA5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f86b81245b56bc92,,,,29.5,,,40.0,,
