Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Untitled,Douglas Gordon,7805,"(Scottish, born 1966)",(Scottish),(1966),(0),(Male),2004,"Ink, pencil, and ballpoint pen on notebook paper","11 x 7 1/2"" (27.9 x 19.1 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,1773.2005,Drawing,Drawings & Prints,2005-05-10,Y,96042,http://www.moma.org/collection/works/96042,http://www.moma.org/media/W1siZiIsIjIxODMzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1a51ee8480ead32b,,,,27.9400558801,,,19.0500381001,,
Untitled,Douglas Gordon,7805,"(Scottish, born 1966)",(Scottish),(1966),(0),(Male),2004,Ink on notebook paper,"11 x 7 1/2"" (27.9 x 19.1 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,1774.2005,Drawing,Drawings & Prints,2005-05-10,Y,96043,http://www.moma.org/collection/works/96043,http://www.moma.org/media/W1siZiIsIjIxODMzNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d96e9016818efd17,,,,27.9400558801,,,19.0500381001,,
"Memoirs, 1988-1990",Douglas Gordon,7805,"(Scottish, born 1966)",(Scottish),(1966),(0),(Male),(1984-90),Ten sketchbooks and backpack,"(a): 8 1/2 x 5 3/4 x 3/4"" (21.6 x 14.6 x 1.9 cm)
(b): 11 3/8 x 8 1/2 x 3/4"" (28.9 x 21.6 x 1.9 cm)
(c): 8 1/2 x 6 x 3/8"" (21.6 x 15.2 x 1 cm)
(d): 9 x 7 1/4 x 3/4"" (22.9 x 18.4 x 1.9 cm)
(e): 4 1/2 x 7 x 1/2"" (11.4 x 17.8 x 1.3 cm)
(f): 5 3/4 x 8 1/8 x 1/4"" (14.6 x 20.6 x 0.6 cm)
(g): 8 1/2 x 6 x 1/2"" (21.6 x 15.2 x 1.3 cm)
(h): 12 1/4 x 9 1/2 x 1 1/8"" (31.1 x 24.1 x 2.9 cm)
(i): 11 3/8 x 8 1/4 x 7/8"" (28.9 x 21 x 2.2 cm)
(j): 9 x 7 x 1/4"" (22.9 x 17.8 x 0.6 cm)
(k): 19 3/4 x 16 x 2 1/2"" (50.2 x 40.6 x 6.4 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,1769.2005.a-k,Drawing,Drawings & Prints,2005-05-10,Y,96044,http://www.moma.org/collection/works/96044,http://www.moma.org/media/W1siZiIsIjEzODk0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bf485ecac188ded8,,1.90500381,,21.5900431801,,,14.6050292101,,
Revolver,Jim Lambie,22939,"(Scottish, born 1964)",(Scottish),(1964),(0),(Male),(2003),Synthetic polymer paint and pressure-sensitive tape on printed paper,"35 1/2 x 25"" (90.2 x 63.5 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,2167.2005,Drawing,Drawings & Prints,2005-05-10,Y,96445,http://www.moma.org/collection/works/96445,http://www.moma.org/media/W1siZiIsIjEzMzk1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bba1d98e579c1ffd,,,,90.1701803404,,,63.5,,
Screamadelica,Jim Lambie,22939,"(Scottish, born 1964)",(Scottish),(1964),(0),(Male),2004,Gaffer tape and printed paper on wall,Dimensions variable,The Judith Rothschild Foundation Contemporary Drawings Collection Gift,2168.2005,Drawing,Drawings & Prints,2005-05-10,Y,96446,http://www.moma.org/collection/works/96446,http://www.moma.org/media/W1siZiIsIjE2MzA2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9e6d30bd5e1bc7c4,,0.0,,0.0,,,0.0,,
Untitled (Nothing),Scott Myles,28732,"(Scottish, born 1975)",(Scottish),(1975),(0),(Male),2002,Pencil on three pieces of paper,"(a): 24 1/2 x 18 1/4"" (62.2 x 46.4 cm)
(b): 18 1/4 x 24 1/2"" (46.4 x 62.2 cm)
(c): 24 1/2 x 18 1/4"" (62.2 x 46.4 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,2512.2005.a-c,Drawing,Drawings & Prints,2005-05-10,Y,96793,http://www.moma.org/collection/works/96793,http://www.moma.org/media/W1siZiIsIjE0ODMyNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=22f119e7eda6ac54,,1.587503175,,53.9751,,,69.8501,,
Landscape Couple (I and II),Sally Osborn,28746,"(British, born 1961)",(Scottish),(1961),(0),(Female),2003,Watercolor on two pieces of paper,"Each: 16 1/2 x 11 5/8"" (41.9 x 29.5 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,2599.2005.a-b,Drawing,Drawings & Prints,2005-05-10,Y,96881,http://www.moma.org/collection/works/96881,http://www.moma.org/media/W1siZiIsIjE0MDY1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f88078a6b4af06ea,,,,41.9100838202,,,29.5275590551,,
Untitled (Nature I and II),Sally Osborn,28746,"(British, born 1961)",(Scottish),(1961),(0),(Female),2003,Watercolor on two pieces of paper,"Each: 11 3/4 x 8 1/2"" (29.8 x 21.6 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,2600.2005.a-b,Drawing,Drawings & Prints,2005-05-10,Y,96882,http://www.moma.org/collection/works/96882,http://www.moma.org/media/W1siZiIsIjE0MDE4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=06aa1335bab27aca,,,,29.8451,,,21.59,,
Colour Study for the Ambulance Station,Toby Paterson,28752,"(Scottish, born 1974)",(Scottish),(1974),(0),(Male),2003,Synthetic polymer paint and pencil on paper,"35 3/4 x 50 1/4"" (90.8 x 127.6 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,2666.2005,Drawing,Drawings & Prints,2005-05-10,Y,96952,http://www.moma.org/collection/works/96952,http://www.moma.org/media/W1siZiIsIjEzNTU5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b64941ef1f5a0652,,,,90.8051816104,,,127.6352552705,,
Untitled,Hayley Tompkins,28836,"(British, born 1971)",(Scottish),(1971),(0),(Female),2001,Crumpled magazine page,"7 3/4 x 7"" (19.7 x 17.8 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,3263.2005,Drawing,Drawings & Prints,2005-05-10,Y,97574,http://www.moma.org/collection/works/97574,http://www.moma.org/media/W1siZiIsIjExMDY0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7b551935f8facd47,,0.0,,19.6850393701,,,17.7800355601,,
