Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Roots 1,Monika Correa,69493,"(Indian, born 1938)",(Indian),(1938),(0),(Female),1984,"Dyed cotton, twill","50 × 32"" (127 × 81.3 cm)",Gift of The Modern Women's Fund,581.2017,Design,Architecture & Design,2017-10-16,Y,229412,http://www.moma.org/collection/works/229412,http://www.moma.org/media/W1siZiIsIjUwNjEyNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8d657b00e972fc80,,,,127.0002540005,,,81.2801625603,,
"Pragati Maidan: Hall of Nations and Halls of Industries for the India International Trade Fair, New Delhi, India",Raj Rewal,69904,"(Indian, born 1934)",(Indian),(1934),(0),(Male),1970,Wood,"27 × 36 × 36"" (68.6 × 91.4 × 91.4 cm)",Committee on Architecture and Design Funds,60.2018,Architecture,Architecture & Design,2018-02-12,Y,274514,http://www.moma.org/collection/works/274514,http://www.moma.org/media/W1siZiIsIjQ3MTI1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=07407aa3ecfc0eec,,91.4401828804,,68.5801371603,,,91.4401828804,,
"Parliament Library, New Delhi, India (Structural model for the roof)",Raj Rewal,69904,"(Indian, born 1934)",(Indian),(1934),(0),(Male),1989–2003,"model, wire","23 5/8 × 23 5/8"" (60 × 60 cm)",Committee on Architecture and Design Funds,66.2018.1,Architecture,Architecture & Design,2018-02-12,N,274515,,,,60.0,,0.0,,,60.0,,
"Asian Games Village, New Delhi, India",Raj Rewal,69904,"(Indian, born 1934)",(Indian),(1934),(0),(Male),1980–1982,"Wood, peppercorns, and paint","6 × 36 × 24"" (15.2 × 91.4 × 61 cm)",Committee on Architecture and Design Funds,67.2018,Architecture,Architecture & Design,2018-02-12,Y,274516,http://www.moma.org/collection/works/274516,http://www.moma.org/media/W1siZiIsIjUwMDkyNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=15e1f1600a18edd3,,60.9601219202,,15.2400304801,,,91.4401828804,,
"French Embassy Staff Quarters, New Delhi, India",Raj Rewal,69904,"(Indian, born 1934)",(Indian),(1934),(0),(Male),1967,model,"6 × 35 1/2 × 21 1/2"" (15.2 × 90.2 × 54.6 cm)",Committee on Architecture and Design Funds,69.2018,Architecture,Architecture & Design,2018-02-12,N,274517,,,,54.6101092202,,15.2400304801,,,90.1701803404,,
Untitled,Raj Rewal,69904,"(Indian, born 1934)",(Indian),(1934),(0),(Male),1960–1970,Ink on paper,"11 13/16 × 16 9/16"" (30 × 42 cm)",Committee on Architecture and Design Funds,72.2018.1,Architecture,Architecture & Design,2018-02-12,Y,274518,http://www.moma.org/collection/works/274518,http://www.moma.org/media/W1siZiIsIjUxMTk5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ab1e59b0af2900a6,,,,30.0,,,42.0,,
"Pragati Maidan: Hall of Nations and Halls of Industries for the India International Trade Fair, New Delhi, India (Plan sketch)",Raj Rewal,69904,"(Indian, born 1934)",(Indian),(1934),(0),(Male),1970,Pencil on tracing paper,"20 × 29 3/4"" (50.8 × 75.5 cm)",Committee on Architecture and Design Funds,61.2018.1,Architecture,Architecture & Design,2018-02-12,Y,274519,http://www.moma.org/collection/works/274519,,,,,50.8001016002,,,75.5,,
"Pragati Maidan: Hall of Nations and Halls of Industries for the India International Trade Fair, New Delhi, India (Plan and elevation sketch)",Raj Rewal,69904,"(Indian, born 1934)",(Indian),(1934),(0),(Male),1970,Pencil on tracing paper,"20 × 29 3/4"" (50.8 × 75.5 cm)",Committee on Architecture and Design Funds,61.2018.2,Architecture,Architecture & Design,2018-02-12,Y,274520,http://www.moma.org/collection/works/274520,,,,,50.8001016002,,,75.5,,
"Pragati Maidan: Hall of Nations and Halls of Industries for the India International Trade Fair, New Delhi, India (Sketch of structure)",Raj Rewal,69904,"(Indian, born 1934)",(Indian),(1934),(0),(Male),1970,Ink and pencil on vellum,"11 5/8 × 16 1/2"" (29.5 × 41.9 cm)",Committee on Architecture and Design Funds,62.2018.1,Architecture,Architecture & Design,2018-02-12,Y,274521,http://www.moma.org/collection/works/274521,http://www.moma.org/media/W1siZiIsIjQyODEzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0302774959df2a49,,,,29.5275590551,,,41.9100838202,,
"Pragati Maidan: Hall of Nations and Halls of Industries for the India International Trade Fair, New Delhi, India (Interior perspective sketch)",Raj Rewal,69904,"(Indian, born 1934)",(Indian),(1934),(0),(Male),1970,"Ink, marker, and graphite on vellum","11 5/8 × 16 1/2"" (29.5 × 41.9 cm)",Committee on Architecture and Design Funds,62.2018.2,Architecture,Architecture & Design,2018-02-12,Y,274522,http://www.moma.org/collection/works/274522,http://www.moma.org/media/W1siZiIsIjQyODEzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=337b42dd6ab4a0d1,,,,29.5275590551,,,41.9100838202,,
