Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Biophilia,"Björk, Mathias Augustyniak, Michael Amzalag, M/M Paris, Sjón (Sigurjón Birgir Sigurðsson), Scott Snibbe, Max Weisel, Relative Wave, Sarah Stocker, Mark Danks, Kodama Studios, Touch Press, London, Nikki Dibben, Stephen Malinowski, John F. Simon, Jr.","38789, 46095, 46096, 45521, 46142, 44115, 39233, 45998, 46097, 46098, 45999, 46000, 46143, 46144, 25966","(Icelandic, born 1965) (French, born 1967) (French, born 1968) (est. 1992) (Icelandic, born 1962) (American, born 1969) (American, born 1991) (est. 2009) (American, born 1965) (American, born 1972) (est. 2011) (est. 2010) (British, born 1969) (American, born 1953) (American, born 1963)",(Icelandic) (French) (French) () (Icelandic) (American) (American) () (American) (American) () () (British) (American) (American),(1965) (1967) (1968) (1992) (1962) (1969) (1991) (2009) (1965) (1972) (2011) (2010) (1969) (1953) (1963),(0) (0) (0) (0) (0) (0) (0) (0) (0) (0) (0) (0) (0) (0) (0),(Female) (Male) (Male) () (Male) (Male) (Male) () (Female) (Male) () () (Female) (Male) (Male),2011,Digital application,,Gift of Björk and One Little Independent,348.2014,Design,Architecture & Design,2014-05-19,Y,179295,http://www.moma.org/collection/works/179295,http://www.moma.org/media/W1siZiIsIjI4NzY1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9af32437aa553072,,,,,,,,,
Biophilia,"Björk, Mathias Augustyniak, Michael Amzalag, M/M Paris, Sjón (Sigurjón Birgir Sigurðsson), Scott Snibbe, Max Weisel, Relative Wave, Sarah Stocker, Mark Danks, Kodama Studios, Touch Press, London, Nikki Dibben, Stephen Malinowski, John F. Simon, Jr.","38789, 46095, 46096, 45521, 46142, 44115, 39233, 45998, 46097, 46098, 45999, 46000, 46143, 46144, 25966","(Icelandic, born 1965) (French, born 1967) (French, born 1968) (est. 1992) (Icelandic, born 1962) (American, born 1969) (American, born 1991) (est. 2009) (American, born 1965) (American, born 1972) (est. 2011) (est. 2010) (British, born 1969) (American, born 1953) (American, born 1963)",(Icelandic) (French) (French) () (Icelandic) (American) (American) () (American) (American) () () (British) (American) (American),(1965) (1967) (1968) (1992) (1962) (1969) (1991) (2009) (1965) (1972) (2011) (2010) (1969) (1953) (1963),(0) (0) (0) (0) (0) (0) (0) (0) (0) (0) (0) (0) (0) (0) (0),(Female) (Male) (Male) () (Male) (Male) (Male) () (Female) (Male) () () (Female) (Male) (Male),2011,Digital application,,Gift of Björk and One Little Independent,348.2014,Design,Architecture & Design,2014-05-19,Y,179295,http://www.moma.org/collection/works/179295,http://www.moma.org/media/W1siZiIsIjI4NzY1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9af32437aa553072,,,,,,,,,
"Theaterstück/Theaterpiece, 2014 (for Parkett no. 94)",Ragnar Kjartansson,37616,"(Icelandic, born 1976)",(Icelandic),(1976),(0),(Male),2014,Multiple of paint on plywood,"6 1/2 x 12 13/16 x 5 1/2"" (16.5 x 32.5 x 14 cm)","Gift of Dr. Samuel Mandel, Nina and Gordon Bunshaft Bequest, gift of Mrs. Len Houzer, and gift of Sue and Edgar Wachenheim III (all by exchange)",669.2015,Multiple,Drawings & Prints,2015-06-03,Y,192750,http://www.moma.org/collection/works/192750,http://www.moma.org/media/W1siZiIsIjMzMjc0MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a1b3527f3a51f312,,14.0,,16.5,,,32.5,,
Parkett no. 94,"Various Artists, Cyprien Gaillard, Ragnar Kjartansson, Shirana Shahbazi","24409, 37691, 37616, 28426","(French, born 1980) (Icelandic, born 1976) (German, born Iran 1974)",() (French) (Icelandic) (German),(0) (1980) (1976) (1974),(0) (0) (0) (0),() (Male) (Male) (Female),2014,Journal,"page (each): 10 x 8 1/4"" (25.4 x 21 cm); overall (closed): 10 x 8 3/8 x 3/4"" (25.4 x 21.3 x 1.9 cm)",Gift of Parkett,703.2015.x1-x2,Periodical,Drawings & Prints,2015-06-03,Y,194970,http://www.moma.org/collection/works/194970,http://www.moma.org/media/W1siZiIsIjM0Mzg5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=cf192c892aa5839a,,,,,,,,,
“Little Sun” Solar powered LED light,Olafur Eliasson,25982,"(Danish and Icelandic, born 1967)",(Icelandic),(1967),(0),(Male),2012,Plastic and electronics,"1 1/8 × diam. 4 3/4"" (2.9 × 12 cm)",Gift of the designer,1079.2015,Design,Architecture & Design,2015-10-19,Y,196741,http://www.moma.org/collection/works/196741,http://www.moma.org/media/W1siZiIsIjM5MTk5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7a49428e386bafcd,,2.9,12.0,,,,,,
Twilight Tones 3,Olafur Eliasson,25982,"(Danish and Icelandic, born 1967)",(Icelandic),(1967),(0),(Male),2012,Pencil and watercolor on paper in artist's frame,"27 1/2 × 19 3/4"" (69.9 × 50.2 cm)",Gift of Joel and Anne Ehrenkranz,622.2017,Drawing,Drawings & Prints,2017-10-18,Y,222702,http://www.moma.org/collection/works/222702,http://www.moma.org/media/W1siZiIsIjQyMTk1OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c41a40b63d242b26,,0.0,,69.8501397003,,,50.1651003302,,
Alli nalli og tunglið (Alli Nalli and the Moon),Sigríður Björnsdóttir,26316,"(Icelandic, born 1929)",(Icelandic),(1929),(0),(Female),1959,"Illustrated book, offset lithograph printed","page (each): 12 1/16 × 12 3/16"" (30.6 × 31 cm); overall (closed): 12 1/16 × 12 1/2 × 3/16"" (30.6 × 31.8 × 0.5 cm)",General Print Fund,191.2018,Illustrated Book,Drawings & Prints,2018-03-21,Y,275376,http://www.moma.org/collection/works/275376,http://www.moma.org/media/W1siZiIsIjQyNjg4OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=941f327dcf3e5743,,,,30.6,,,31.0,,
MATRIX I,Steina,32428,"(Icelandic, born 1940)",(Icelandic),(1940),(0),(Female),1970–1972,"Standard-definition video (black and white, sound), one to sixteen monitors",24:18  min.,"Purchased jointly by The Museum of Modern Art, New York (The Jill and Peter Kraus Media and Performance Acquisition Fund); Tate, London with funds provided by Tate Americas Foundation; San Francisco Museum of Modern Art (Accessions Committee Fund purchase); and Pamela and Richard Kramlich and the New Art Trust, 2020",220.2020,Video,Media and Performance,2020-11-12,N,409790,,,,,,,,,,,
MATRIX II,"Woody Vasulka, Steina","32430, 32428","(American, born Czech Republic, 1937–2019) (Icelandic, born 1940)",(American) (Icelandic),(1937) (1940),(2019) (0),(Male) (Female),1974,"Standard-definition video (color, sound), one to twelve monitors",8:24 min.,"Purchased jointly by The Museum of Modern Art, New York (The Jill and Peter Kraus Media and Performance Acquisition Fund); Tate, London with funds provided by Tate Americas Foundation; San Francisco Museum of Modern Art (Accessions Committee Fund purchase); and Pamela and Richard Kramlich and the New Art Trust, 2020",221.2020,Video,Media and Performance,2020-11-12,N,409791,,,,,,,,,,,
Lava and Moss,"Woody Vasulka, Steina","32430, 32428","(American, born Czech Republic, 1937–2019) (Icelandic, born 1940)",(American) (Icelandic),(1937) (1940),(2019) (0),(Male) (Female),2000,"Three-channel high-definition video (color, sound)",15:09 min.,"Purchased jointly by The Museum of Modern Art, New York (The Jill and Peter Kraus Media and Performance Acquisition Fund); Tate, London with funds provided by Tate Americas Foundation; San Francisco Museum of Modern Art (Accessions Committee Fund purchase); and Pamela and Richard Kramlich and the New Art Trust, 2020",222.2020,Video,Media and Performance,2020-11-12,N,409792,,,,,,,,,,,
