Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
The Illusionist,Jüri Arrak,12,"(Estonian, born 1936)",(Estonian),(1936),(0),(Male),1977,Etching and aquatint,"plate  19 11/16 x 19 1/4"" (50 x 48.9 cm)
sheet  24 x 22 7/16"" (61 x 57 cm)",Blanchette Hooker Rockefeller and Mr. and Mrs. Constantine Sidamon-Eristoff Funds,163.1988,Print,Drawings & Prints,1988-05-04,N,63369,,,,,,50.0,,,48.9,,
Under the Sky-FSO,Raul Meel,3906,(Estonian),(Estonian),(0),(0),(Male),1973-78,Screenprint,,Purchase,313.1985,Print,Drawings & Prints,1985-10-07,Y,66704,http://www.moma.org/collection/works/66704,,,,,,,,,,
